,School_Name,STREET,POSTCODE,WEB_SITE,School_Group,LNG,LAT,SCHNAME,TOWN,SCHSTATUS,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,OFSTEDRATING
94,Greet Primary School,Percy Road,B11 3ND,http://www.greet.bham.sch.uk/,Primary,-1.8577918340000001,52.45320368,Greet Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,
95,Grestone Academy,Grestone Avenue,B20 1ND,http://www.grestoneschool.co.uk/,Primary,-1.937937012,52.52228851,Grestone Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Requires improvement
96,Grove School,Dawson Road,B21 9HB,http://web.grove.bham.sch.uk/,Primary,-1.9334668240000001,52.50566375,Grove School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
97,Guardian Angels Catholic Primary School,Hurst Lane,B34 7HN,http://www.grdangel.bham.sch.uk/,Primary,-1.764234927,52.49694358,Guardian Angels Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
98,Guardian Angels Catholic Primary School,Hurst Lane,B34 7HN,http://www.grdangel.bham.sch.uk/,Primary,-1.764234927,52.49694358,Guardian Angels Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
99,Gunter Primary School,Gunter Road,B24 0RU,http://www.gunterprimary.org/,Primary,-1.8084520219999998,52.52108037,Gunter Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
100,Hall Green Infant School,Petersfield Road,B28 0AR,http://www.hallgreeninfant.co.uk/,Infants,-1.8454493459999999,52.43113572,Hall Green Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
101,Hall Green Junior School,Stratford Road,B28 9AJ,http://www.hallgrnj.bham.sch.uk/,Juniors,-1.844361392,52.43101746,Hall Green Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Good
102,Hall Green School,Southam Road,B28 0AA,http://www.hallgreen.bham.sch.uk/,Secondary,-1.8489437180000001,52.43292928,Hall Green School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,None,Good
103,Hallmoor School,Scholars Gate,B33 0DL,http://www.hallmoor.bham.sch.uk/,Special,-1.780264604,52.48110716,Hallmoor School,Birmingham,Open,Special school,Academy special sponsor led,1,1,1,4,19,Mixed,Does not apply,Requires improvement
104,Hamilton School,Hamilton Road,B21 8AH,http://www.hamilton.bham.sch.uk,Special,-1.9439402,52.5069457,Hamilton School,Birmingham,Open,Special school,Foundation special school,1,0,0,4,11,Mixed,Does not apply,Outstanding
105,Hamstead Hall Academy,Craythorne Avenue,B20 1HL,http://www.hamsteadhall.com,Secondary,-1.94211219,52.53031862,Hamstead Hall Academy,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Good
106,Harborne Academy,Harborne Road,B15 3JL,http://www.harborneacademy.co.uk/,Secondary,-1.9382423219999998,52.46185833,Harborne Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,16,Mixed,Does not apply,Good
107,Harborne Primary School,Station Road,B17 9LU,http://www.harborne.bham.sch.uk,Primary,-1.9529633430000002,52.45907815,Harborne Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Outstanding
108,Hawkesley Church Primary Academy,376 Shannon Road,B38 9TR,http://www.hawkesley.bham.sch.uk/,Primary,-1.9378668769999998,52.39362368,Hawkesley Church Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England/Methodist,Good
109,Hawthorn Primary School,Hawthorn Road,B44 8QR,http://hawthornprimaryschool.co.uk/,Primary,-1.877148367,52.53579792,Hawthorn Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Requires improvement
110,Heartlands Academy,Gt Francis Street,B7 4QR,http://www.heartlands-academy.org.uk/,Secondary,-1.874864485,52.48858054,Heartlands Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Outstanding
111,Heath Mount Primary School,Mary Street,B12 9ST,http://www.heathmount.bham.sch.uk/,Primary,-1.889912302,52.46023213,Heath Mount Primary School,BIRMINGHAM,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
112,Heathfield Primary School,Heathfield Road,B19 1HJ,http://www.heathfld.bham.sch.uk/,Primary,-1.908965964,52.50589924,Heathfield Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
113,Heathlands Primary Academy,Heath Way,B34 6NB,http://www.heathlnd.bham.sch.uk/,Primary,-1.795742295,52.50004071,Heathlands Primary Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Requires improvement
114,Highfield Junior and Infant School,Highfield Road,B8 3QF,http://web.hifield.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,-1.849091482,52.49312638,Highfield Junior and Infant School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Good
115,Highters Heath Community School,Highters Heath Lane,B14 4LY,http://www.hightersheath.co.uk/,Primary,-1.871933773,52.41230618,Highters Heath Community School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
116,Hill West Primary School,Clarence Road,B74 4LD,http://www.hillwest.bham.sch.uk/,Primary,-1.843174902,52.59554933,Hill West Primary School,Sutton Coldfield,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Good
117,Hillstone Primary School,Hillstone Road,B34 7PY,http://www.hillstone.org.uk/,Primary,-1.766124909,52.49329737,Hillstone Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,2,11,Mixed,Does not apply,Good
118,Hodge Hill College,Bromford Road,B36 8HB,http://www.hodgehill.bham.sch.uk/,Secondary,-1.8205279630000002,52.50158216,Hodge Hill College,Birmingham,Open,Maintained school,Community school,0,1,0,11,16,Mixed,Does not apply,Good
119,Hodge Hill Girls' School,Bromford Road,B36 8EY,http://www.hodgehgs.bham.sch.uk/,Secondary,-1.817798574,52.50259384,Hodge Hill Girls' School,Birmingham,Open,Maintained school,Community school,0,1,0,11,16,Girls,Does not apply,Good
120,Hodge Hill Primary School,Twycross Grove,B36 8LD,http://www.hodgehillprimary.bham.sch.uk/,Primary,-1.816048388,52.50189893,Hodge Hill Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Requires improvement
121,Holland House Infant School and Nursery,Holland Road,B72 1RE,http://www.hollandh.bham.sch.uk/,Infants,-1.821595619,52.55815715,Holland House Infant School and Nursery,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Outstanding
122,Holly Hill Methodist CofE Infant School,New Street,B45 0EU,http://www.hollyhill.bham.sch.uk/,Infants,-2.01696154,52.40461546,Holly Hill Methodist CofE Infant School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,7,Mixed,Church of England/Methodist,Good
123,Hollyfield Primary School,Hollyfield Road,B75 7SG,http://www.hollyfield.bham.sch.uk/,Primary,-1.8011939540000002,52.56189146,Hollyfield Primary School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,4,11,Mixed,Does not apply,Good
124,Hollywood Primary School,Pickenham Road,B14 4TG,http://www.hollywoodprimaryschool.co.uk/,Primary,-1.879280386,52.40304517,Hollywood Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
125,Holte School,Wheeler Street,B19 2EP,http://www.holte.bham.sch.uk/,Secondary,-1.9002416290000002,52.50048929999999,Holte School,Birmingham,Open,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Requires improvement
126,Holy Cross Catholic Primary School,Laburnum Drive,B76 2SP,http://www.holycros.bham.sch.uk/,Primary,-1.7930485090000001,52.55615989999999,Holy Cross Catholic Primary School,Sutton Coldfield,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,Good
127,Holy Family Catholic Primary School,Coventry Road,B10 0HT,http://www.holyfam.bham.sch.uk/,Primary,-1.8460061419999998,52.46555925,Holy Family Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
128,Holy Souls Catholic Primary School,Mallard Close,B27 6BN,http://www.holysoul.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,-1.8189089369999998,52.44736112,Holy Souls Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Serious Weaknesses
129,Holy Souls Catholic Primary School,Mallard Close,B27 6BN,http://www.holysoul.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,-1.8189089369999998,52.44736112,Holy Souls Catholic Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Roman Catholic,
130,Holy Trinity CE Primary Academy (Handsworth),Havelock Road,B20 3LP,http://www.htcepa.bham.sch.uk/,Primary,-1.906843277,52.51343114,Holy Trinity CE Primary Academy (Handsworth),Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Church of England,Requires improvement
131,Holyhead School,Milestone Lane,B21 0HN,http://www.holyheadschool.org.uk/,Secondary,-1.94663839,52.50524789,Holyhead School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Good
132,James Brindley School,Bell Barn Road,B15 2AF,http://www.jamesbrindley.bham.sch.uk/,Special,-1.906685718,52.46938032,James Brindley School,Birmingham,Open,Special school,Academy special converter,1,1,1,2,19,Mixed,Does not apply,Good
133,James Watt Primary School,Boulton Road,B21 0RE,http://www.jameswattp.bham.sch.uk/,Primary,-1.9392792580000002,52.49998523,James Watt Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
134,Jervoise School,Jervoise Road,B29 5QU,http://www.jervoise.bham.sch.uk/,Primary,-1.968900246,52.44044703,Jervoise School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
135,John Willmott School,Reddicap Heath Road,B75 7DY,http://www.jws.bham.sch.uk/,Secondary,-1.79558003,52.56049742,John Willmott School,Sutton Coldfield,Closed,Maintained school,Community school,0,1,1,11,18,Mixed,Does not apply,Requires improvement
136,John Willmott School,Reddicap Heath Road,B75 7DY,http://www.jws.bham.sch.uk/,Secondary,-1.79558003,52.56049742,John Willmott School,Sutton Coldfield,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,
137,King Edward VI Aston School,Frederick Road,B6 6DJ,http://web.keaston.bham.sch.uk/,Secondary,-1.885649753,52.50366755,King Edward VI Aston School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Boys,Christian,
138,King Edward VI Camp Hill School for Boys,Vicarage Road,B14 7QJ,http://www.camphillboys.bham.sch.uk/,Secondary,-1.903237165,52.43078346,King Edward VI Camp Hill School for Boys,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Boys,Christian,
139,King Edward VI Camp Hill School for Girls,Vicarage Road,B14 7QJ,http://www.kechg.org.uk/,Secondary,-1.9022952080000002,52.43109734,King Edward VI Camp Hill School for Girls,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Girls,Christian,Outstanding
140,King Edward VI Five Ways School,Scotland Lane,B32 4BT,http://fwgs.kefw.org/,Secondary,-1.999322494,52.43210835,King Edward VI Five Ways School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Christian,
141,King Edward VI Handsworth School,Rose Hill Road,B21 9AR,http://www.kingedwardvi.bham.sch.uk/,Secondary,-1.92333607,52.50258307,King Edward VI Handsworth School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Girls,Christian,Outstanding
142,King Edward VI Sheldon Heath Academy,Sheldon Heath Road,B26 2RZ,http://www.keshacademy.com/,Secondary,-1.77862062,52.46861699,King Edward VI Sheldon Heath Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Good
143,King Solomon International Business School,Faraday Wharf,B7 4BB,http://kingsolomonibs.com/,All Through,-1.887234904,52.48866484,King Solomon International Business School,Birmingham,Closed,Academy,Free schools,1,1,1,4,19,Mixed,Christian,Special Measures
144,King Solomon International Business School,Faraday Wharf,B7 4BB,http://kingsolomonibs.com/,All Through,-1.887234904,52.48866484,King Solomon International Business School,Birmingham,Open,Academy,Free schools,1,1,1,4,19,Mixed,,
145,King's Norton Boys' School,Northfield Road,B30 1DY,http://www.kingsnortonboys.bham.sch.uk/,Secondary,-1.941583325,52.41716157,King's Norton Boys' School,Birmingham,Open,Maintained school,Foundation school,0,1,0,11,16,Boys,None,Good
146,Kings Heath Boys,Hollybank Road,B13 0RJ,http://www.kingsheathboys.co.uk/,Secondary,-1.880371929,52.423399700000004,Kings Heath Boys,Birmingham,Open,Maintained school,Community school,0,1,0,11,16,Boys,Does not apply,Good
147,Kings Heath Primary School,Valentine Road,B14 7AJ,http://www.kingsheathprimary.com/,Primary,-1.889763761,52.43713662,Kings Heath Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
148,Kings Norton Girls' School,Selly Oak Road,B30 1HW,http://www.kngs.co.uk/,Secondary,-1.9352652019999999,52.42077999,Kings Norton Girls' School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Girls,None,Outstanding
149,Kings Norton Junior and Infant School,Pershore Road South,B30 3EU,http://www.kngnrtn.bham.sch.uk/,Primary,-1.927582926,52.40814589,Kings Norton Junior and Infant School,Birmingham,"Open, but proposed to close",Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Special Measures
150,Kings Rise Academy,Hornsey Road,B44 0JL,http://www.kingrise.bham.sch.uk/,Primary,-1.87556183,52.54950585,Kings Rise Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Requires improvement
151,Kingsland Primary School (NC),Kingsland Road,B44 9PU,www.kingsland.bham.sch.uk/,Primary,-1.887678279,52.55759084,Kingsland Primary School (NC),Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
152,Kingsthorne Primary School,Cranbourne Road,B44 0BX,http://www.kingsthorneprimary.co.uk/,Primary,-1.882447912,52.54428972,Kingsthorne Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
153,Ladypool Primary School,Stratford Road,B11 1QT,http://www.ladypool.bham.sch.uk/,Primary,-1.87423552,52.46116948,Ladypool Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
154,Lakey Lane Junior and Infant School,Lakey Lane,B28 8RY,http://www.lakeyln.bham.sch.uk/,Primary,-1.8309165180000002,52.43153838,Lakey Lane Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
155,Langley School,Trinity Road,B75 6TJ,http://www.langley.bham.sch.uk/,Special,-1.8255111240000002,52.58009953,Langley School,Sutton Coldfield,Open,Special school,Foundation special school,1,0,0,3,11,Mixed,Does not apply,Good
156,Lea Forest Primary Academy,Hurstcroft Road,B33 9RD,http://leaforestacademy.org/,Primary,-1.786175485,52.48314966,Lea Forest Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
157,Leigh Primary School,Leigh Road,B8 2YH,http://www.leighji.bham.sch.uk/,Primary,-1.84724953,52.49761905,Leigh Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
158,Lindsworth School,Monyhull Hall Road,B30 3QA,http://www.lindsworth.co.uk,Special,-1.905883803,52.41032424,Lindsworth School,Birmingham,Open,Special school,Community special school,1,1,0,9,16,Mixed,Does not apply,Good
159,Little Sutton Primary School,Worcester Lane,B75 5NL,http://www.littlesu.bham.sch.uk/,Primary,-1.8120508919999998,52.59304089,Little Sutton Primary School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,4,11,Mixed,Does not apply,Outstanding
160,Longwill A Primary School for Deaf Children,Bell Hill,B31 1LD,http://www.longwill.bham.sch.uk/,Special,-1.9712089259999999,52.41917726,Longwill A Primary School for Deaf Children,Birmingham,Open,Special school,Foundation special school,1,0,0,2,12,Mixed,Does not apply,Good
161,Lordswood Boys' School,Hagley Road,B17 8BJ,http://www.lordswoodboys.co.uk/,Secondary,-1.965065321,52.47204583,Lordswood Boys' School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Boys,None,
162,Lordswood Girls' School and Sixth Form Centre,Knightlow Road,B17 8QB,http://www.lordswoodgirls.co.uk/,Secondary,-1.9649937519999998,52.46951964,Lordswood Girls' School and Sixth Form Centre,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Girls,None,
163,Lozells Junior and Infant School and Nursery,Wheeler Street,B19 2EP,http://www.lozells.bham.sch.uk/,Primary,-1.900317096,52.49966226,Lozells Junior and Infant School and Nursery,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
164,Lyndon Green Infant School,Wychwood Cresent,B26 1LZ,http://www.lyndongi.bham.sch.uk/,Infants,-1.794753364,52.46022689,Lyndon Green Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,5,7,Mixed,Does not apply,Good
165,Lyndon Green Junior School,Wensley Road,B26 1LU,http://web.lyndongreen-jun.bham.sch.uk/,Juniors,-1.795704091,52.46054767,Lyndon Green Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Requires improvement
166,Maney Hill Primary School,Maney Hill Road,B72 1JU,http://www.maneyhill.bham.sch.uk/,Primary,-1.8161103669999998,52.55066021,Maney Hill Primary School,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
167,Mansfield Green E-ACT Academy,Albert Road,B6 5NH,http://www.manfldgn.bham.sch.uk/,Primary,-1.897648925,52.50366772,Mansfield Green E-ACT Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Outstanding
168,Mapledene Primary School,Mapledene Road,B26 3XE,http://www.mapledene.bham.sch.uk/,Primary,-1.7662453359999999,52.45942344,Mapledene Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
169,Marlborough Infant School,Marlborough Road,B10 9NY,http://www.malbrghi.bham.sch.uk/,Infants,-1.849361078,52.47381912,Marlborough Infant School,Birmingham,Closed,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Requires improvement
170,Marlborough Junior School,Green Lane,B10 9NY,http://www.mjs.bham.sch.uk/,Juniors,-1.849374904,52.47414313,Marlborough Junior School,Birmingham,Closed,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Requires improvement
171,Marlborough Junior School,Green Lane,B10 9NY,http://www.mjs.bham.sch.uk/,Juniors,-1.849374904,52.47414313,Marlborough Junior School,Birmingham,Closed,Academy,Academy converter,1,0,0,7,11,Mixed,Does not apply,
172,Marsh Hill Primary School,Marsh Hill,B23 7HY,http://www.marshill.bham.sch.uk/,Primary,-1.8678922869999999,52.52517091,Marsh Hill Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
173,Maryvale Catholic Primary School,Old Oscott Hill,B44 9AG,http://www.maryvaleprimary.org.uk/,Primary,-1.892097379,52.54795779,Maryvale Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
174,Mayfield School,Heathfield Road,B19 1HJ,http://www.mayfield.bham.sch.uk/,Special,-1.909984036,52.50511784,Mayfield School,Birmingham,Closed,Special school,Community special school,1,1,1,3,19,Mixed,Does not apply,Serious Weaknesses
175,Mayfield School,Heathfield Road,B19 1HJ,http://www.mayfield.bham.sch.uk/,Special,-1.909984036,52.50511784,Mayfield School,Birmingham,Open,Special school,Academy special sponsor led,1,1,1,3,19,Mixed,Does not apply,
176,Mere Green Primary School,Mere Green Road,B75 5BL,http://www.meregrn.bham.sch.uk/,Primary,-1.828115194,52.58840852,Mere Green Primary School,Sutton Coldfield,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Outstanding
177,Merritts Brook Primary E-ACT Academy,Trescott Road,B31 5QD,http://merrittsbrooke-actacademy.org.uk/,Primary,-1.992028049,52.41090413,Merritts Brook Primary E-ACT Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
178,Minworth Junior and Infant School,Water Orton Lane,B76 9BU,http://www.minworth.bham.sch.uk/,Primary,-1.768594859,52.52785052,Minworth Junior and Infant School,SUTTON COLDFIELD,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
179,Montgomery Primary Academy,White Road,B11 1EH,http://www.montgomeryprimaryacademy.org/,Primary,-1.865647876,52.46352438,Montgomery Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Good
180,Moor Hall Primary School,Rowallan Road,B75 6RE,http://www.moorhall.bham.sch.uk/,Primary,-1.814916328,52.58642891,Moor Hall Primary School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,5,11,Mixed,Does not apply,Outstanding
181,Moseley Church of England Primary School,Oxford Road,B13 9EH,http://www.moseleyce.bham.sch.uk/,Primary,-1.88437922,52.44305593,Moseley Church of England Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Outstanding
182,Nansen Primary School,Naseby Road,B8 3HG,http://www.nansen.bham.sch.uk/,Primary,-1.844708302,52.49143963,Nansen Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Special Measures
183,Nechells Primary E-ACT Academy,Eliot Street,B7 5LB,http://www.nechellse-actacademy.org.uk/,Primary,-1.86321176,52.50402136,Nechells Primary E-ACT Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
184,Nelson Junior and Infant School,King Edward's Road,B1 2PJ,http://www.nelson.bham.sch.uk/,Primary,-1.916688433,52.4810747,Nelson Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
185,Nelson Mandela School,Colville Road,B12 8EH,http://www.nelsonmandelaschool.co.uk/home,Primary,-1.874558051,52.45642312,Nelson Mandela School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Outstanding
186,New Oscott Primary School,Markham Road,B73 6QR,http://www.newoscott.bham.sch.uk/,Primary,-1.863893773,52.55521955,New Oscott Primary School,Sutton Coldfield,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
187,Nishkam High School,Great King Street North,B19 2LF,http://www.nishkamschooltrust.org/,Secondary,-1.9074108419999998,52.495703500000005,Nishkam High School,Birmingham,Open,Academy,Free schools,0,1,1,11,19,Mixed,Sikh,Outstanding
188,Nishkam Primary School Birmingham,1-7 Soho Road,B21 9SN,http://www.nishkamschooltrust.org/overview-primary/,Primary,-1.9241786680000001,52.50094746,Nishkam Primary School Birmingham,Birmingham,Open,Academy,Free schools,1,0,0,4,11,Mixed,Sikh,Outstanding
